episode,months,budget,gap,start,end,arms,arm_count,events
1m_b1500_g5_e01,1,1500,5,2020-02-28T12:21:40,2020-02-28T16:28:20,GG:3.00,1,1
1m_b1500_g5_e02,1,1500,5,2020-03-17T12:04:40,2020-03-19T17:30:00,GG:0.75/GG:1.75/GG:2.25/GG:2.50/GG:2.75/GG:3.00/GG:3.25/GG:3.50/RR:0.75/RR:1.00/RR:1.25/RR:1.50,12,12
1m_b1500_g5_e03,1,1500,5,2020-06-26T18:07:40,2020-06-29T23:30:00,RR:1.75/RR:2.00/RR:2.25,3,3
1m_b1500_g5_e04,1,1500,5,2020-09-08T17:00:20,2020-09-21T19:30:00,GG:0.50/GG:0.75/GG:1.00/GG:1.25/GG:1.50/GG:1.75/GG:2.00/GG:2.25/GG:2.50/GG:2.75/GG:3.00/GG:3.25/GG:3.50,13,13
1m_b1500_g5_e05,1,1500,5,2021-03-24T20:00:20,2021-03-24T20:40:40,GG:0.50,1,1
1m_b1500_g5_e06,1,1500,5,2021-05-19T09:35:40,2021-05-19T09:35:40,RR:0.50,1,1
1m_b1500_g5_e07,1,1500,5,2021-09-28T21:44:40,2021-09-30T22:59:40,GG:1.00/GG:1.75/GG:2.00/GG:2.50/GG:2.75/GG:3.00/GG:3.25/GG:3.50/RR:2.75/RR:3.00,10,10
1m_b1500_g5_e08,1,1500,5,2021-12-17T17:35:20,2021-12-20T20:01:40,RR:1.50/RR:3.50,2,2
1m_b1500_g5_e09,1,1500,5,2022-01-10T18:11:40,2022-01-10T23:00:00,RR:2.50/RR:2.75/RR:3.25/RR:3.50,4,4
1m_b1500_g5_e10,1,1500,5,2022-01-19T08:00:40,2022-01-24T14:52:20,GG:0.50/GG:0.75/GG:1.00/GG:1.25/GG:1.50/GG:1.75/GG:2.00/GG:2.25/GG:2.50/GG:2.75/GG:3.00/GG:3.25/GG:3.50,13,13
1m_b1500_g5_e11,1,1500,5,2022-02-21T03:09:40,2022-03-15T15:00:00,GG:0.50/GG:0.75/GG:1.00/GG:1.25/GG:1.50/GG:1.75/GG:2.00/GG:2.25/GG:2.50/GG:2.75/GG:3.00/GG:3.25/GG:3.50/RR:1.25/RR:1.50/RR:1.75/RR:2.00/RR:2.25/RR:2.50/RR:2.75/RR:3.00/RR:3.25/RR:3.50,23,31
