months,budget,gg_lower,gg_higher,quarters_or_periods_losing_0_seats,quarters_or_periods_losing_5_seats,quarters_or_periods_losing_10_seats,quarters_or_periods_losing_15_seats,quarters_or_periods_losing_20_seats
1,1500,GG:0.50,GG:0.75,56,6,5,7,4
1,1500,GG:0.50,GG:1.00,56,7,4,5,6
1,1500,GG:0.50,GG:1.25,56,7,4,5,6
1,1500,GG:0.50,GG:1.50,56,7,4,5,6
1,1500,GG:0.50,GG:1.75,54,8,6,4,6
1,1500,GG:0.50,GG:2.00,55,7,6,4,6
1,1500,GG:0.50,GG:2.25,54,8,6,4,6
1,1500,GG:0.50,GG:2.50,54,8,5,5,6
1,1500,GG:0.50,GG:2.75,54,8,5,5,6
1,1500,GG:0.50,GG:3.00,53,9,5,5,6
1,1500,GG:0.50,GG:3.25,54,8,5,5,6
1,1500,GG:0.50,GG:3.50,54,8,5,6,5
1,1500,GG:0.75,GG:1.00,56,7,4,7,4
1,1500,GG:0.75,GG:1.25,56,7,4,7,4
1,1500,GG:0.75,GG:1.50,56,7,4,7,4
1,1500,GG:0.75,GG:1.75,55,6,7,6,4
1,1500,GG:0.75,GG:2.00,55,7,6,6,4
1,1500,GG:0.75,GG:2.25,55,6,7,6,4
1,1500,GG:0.75,GG:2.50,55,6,6,7,4
1,1500,GG:0.75,GG:2.75,55,6,6,7,4
1,1500,GG:0.75,GG:3.00,54,7,6,7,4
1,1500,GG:0.75,GG:3.25,55,6,6,7,4
1,1500,GG:0.75,GG:3.50,55,6,7,6,4
1,1500,GG:1.00,GG:1.25,57,6,4,5,6
1,1500,GG:1.00,GG:1.50,57,6,4,5,6
1,1500,GG:1.00,GG:1.75,56,5,7,4,6
1,1500,GG:1.00,GG:2.00,57,4,7,4,6
1,1500,GG:1.00,GG:2.25,55,7,6,4,6
1,1500,GG:1.00,GG:2.50,56,5,6,5,6
1,1500,GG:1.00,GG:2.75,56,5,6,5,6
1,1500,GG:1.00,GG:3.00,55,6,6,5,6
1,1500,GG:1.00,GG:3.25,56,5,6,5,6
1,1500,GG:1.00,GG:3.50,56,5,6,6,5
1,1500,GG:1.25,GG:1.50,58,5,3,6,6
1,1500,GG:1.25,GG:1.75,56,6,5,5,6
1,1500,GG:1.25,GG:2.00,57,5,5,5,6
1,1500,GG:1.25,GG:2.25,56,6,5,5,6
1,1500,GG:1.25,GG:2.50,56,6,4,6,6
1,1500,GG:1.25,GG:2.75,56,6,4,6,6
1,1500,GG:1.25,GG:3.00,55,7,4,6,6
1,1500,GG:1.25,GG:3.25,56,6,4,6,6
1,1500,GG:1.25,GG:3.50,56,6,4,7,5
1,1500,GG:1.50,GG:1.75,55,8,4,5,6
1,1500,GG:1.50,GG:2.00,56,7,4,5,6
1,1500,GG:1.50,GG:2.25,56,6,5,5,6
