months,budget,gap,left,right,left_episodes,right_episodes,shared,left_only,right_only,jaccard,reciprocal,shared_ids,left_only_ids,right_only_ids
1,1500,5,RR:0.50,GG:0.50,8,16,5,3,11,0.2631578947368421,True,1m_b1500_g5_e14;1m_b1500_g5_e20;1m_b1500_g5_e22;1m_b1500_g5_e23;1m_b1500_g5_e25,1m_b1500_g5_e06;1m_b1500_g5_e19;1m_b1500_g5_e28,1m_b1500_g5_e04;1m_b1500_g5_e05;1m_b1500_g5_e10;1m_b1500_g5_e11;1m_b1500_g5_e12;1m_b1500_g5_e13;1m_b1500_g5_e18;1m_b1500_g5_e21;1m_b1500_g5_e24;1m_b1500_g5_e26;1m_b1500_g5_e27
1,1500,5,RR:0.50,GG:0.75,8,15,4,4,11,0.21052631578947367,True,1m_b1500_g5_e20;1m_b1500_g5_e22;1m_b1500_g5_e23;1m_b1500_g5_e25,1m_b1500_g5_e06;1m_b1500_g5_e14;1m_b1500_g5_e19;1m_b1500_g5_e28,1m_b1500_g5_e02;1m_b1500_g5_e04;1m_b1500_g5_e10;1m_b1500_g5_e11;1m_b1500_g5_e12;1m_b1500_g5_e13;1m_b1500_g5_e18;1m_b1500_g5_e21;1m_b1500_g5_e24;1m_b1500_g5_e26;1m_b1500_g5_e27
1,1500,5,RR:0.50,GG:1.00,8,15,5,3,10,0.2777777777777778,True,1m_b1500_g5_e14;1m_b1500_g5_e20;1m_b1500_g5_e22;1m_b1500_g5_e23;1m_b1500_g5_e25,1m_b1500_g5_e06;1m_b1500_g5_e19;1m_b1500_g5_e28,1m_b1500_g5_e04;1m_b1500_g5_e07;1m_b1500_g5_e10;1m_b1500_g5_e11;1m_b1500_g5_e12;1m_b1500_g5_e13;1m_b1500_g5_e18;1m_b1500_g5_e24;1m_b1500_g5_e26;1m_b1500_g5_e27
1,1500,5,RR:0.50,GG:1.25,8,15,5,3,10,0.2777777777777778,True,1m_b1500_g5_e14;1m_b1500_g5_e20;1m_b1500_g5_e22;1m_b1500_g5_e23;1m_b1500_g5_e25,1m_b1500_g5_e06;1m_b1500_g5_e19;1m_b1500_g5_e28,1m_b1500_g5_e04;1m_b1500_g5_e10;1m_b1500_g5_e11;1m_b1500_g5_e12;1m_b1500_g5_e13;1m_b1500_g5_e15;1m_b1500_g5_e18;1m_b1500_g5_e24;1m_b1500_g5_e26;1m_b1500_g5_e27
1,1500,5,RR:0.50,GG:1.50,8,15,5,3,10,0.2777777777777778,True,1m_b1500_g5_e14;1m_b1500_g5_e20;1m_b1500_g5_e22;1m_b1500_g5_e23;1m_b1500_g5_e25,1m_b1500_g5_e06;1m_b1500_g5_e19;1m_b1500_g5_e28,1m_b1500_g5_e04;1m_b1500_g5_e10;1m_b1500_g5_e11;1m_b1500_g5_e12;1m_b1500_g5_e13;1m_b1500_g5_e17;1m_b1500_g5_e18;1m_b1500_g5_e24;1m_b1500_g5_e26;1m_b1500_g5_e27
1,1500,5,RR:0.50,GG:1.75,8,16,5,3,11,0.2631578947368421,True,1m_b1500_g5_e14;1m_b1500_g5_e20;1m_b1500_g5_e22;1m_b1500_g5_e23;1m_b1500_g5_e25,1m_b1500_g5_e06;1m_b1500_g5_e19;1m_b1500_g5_e28,1m_b1500_g5_e02;1m_b1500_g5_e04;1m_b1500_g5_e07;1m_b1500_g5_e10;1m_b1500_g5_e11;1m_b1500_g5_e12;1m_b1500_g5_e13;1m_b1500_g5_e15;1m_b1500_g5_e18;1m_b1500_g5_e26;1m_b1500_g5_e27
1,1500,5,RR:0.50,GG:2.00,8,15,5,3,10,0.2777777777777778,True,1m_b1500_g5_e14;1m_b1500_g5_e20;1m_b1500_g5_e22;1m_b1500_g5_e23;1m_b1500_g5_e25,1m_b1500_g5_e06;1m_b1500_g5_e19;1m_b1500_g5_e28,1m_b1500_g5_e04;1m_b1500_g5_e07;1m_b1500_g5_e10;1m_b1500_g5_e11;1m_b1500_g5_e12;1m_b1500_g5_e13;1m_b1500_g5_e15;1m_b1500_g5_e18;1m_b1500_g5_e26;1m_b1500_g5_e27
1,1500,5,RR:0.50,GG:2.25,8,16,5,3,11,0.2631578947368421,True,1m_b1500_g5_e14;1m_b1500_g5_e20;1m_b1500_g5_e22;1m_b1500_g5_e23;1m_b1500_g5_e25,1m_b1500_g5_e06;1m_b1500_g5_e19;1m_b1500_g5_e28,1m_b1500_g5_e02;1m_b1500_g5_e04;1m_b1500_g5_e10;1m_b1500_g5_e11;1m_b1500_g5_e12;1m_b1500_g5_e13;1m_b1500_g5_e15;1m_b1500_g5_e17;1m_b1500_g5_e18;1m_b1500_g5_e26;1m_b1500_g5_e27
1,1500,5,RR:0.50,GG:2.50,8,17,5,3,12,0.25,True,1m_b1500_g5_e14;1m_b1500_g5_e20;1m_b1500_g5_e22;1m_b1500_g5_e23;1m_b1500_g5_e25,1m_b1500_g5_e06;1m_b1500_g5_e19;1m_b1500_g5_e28,1m_b1500_g5_e02;1m_b1500_g5_e04;1m_b1500_g5_e07;1m_b1500_g5_e10;1m_b1500_g5_e11;1m_b1500_g5_e12;1m_b1500_g5_e13;1m_b1500_g5_e15;1m_b1500_g5_e18;1m_b1500_g5_e24;1m_b1500_g5_e26;1m_b1500_g5_e27
1,1500,5,RR:0.50,GG:2.75,8,17,5,3,12,0.25,True,1m_b1500_g5_e14;1m_b1500_g5_e20;1m_b1500_g5_e22;1m_b1500_g5_e23;1m_b1500_g5_e25,1m_b1500_g5_e06;1m_b1500_g5_e19;1m_b1500_g5_e28,1m_b1500_g5_e02;1m_b1500_g5_e04;1m_b1500_g5_e07;1m_b1500_g5_e10;1m_b1500_g5_e11;1m_b1500_g5_e12;1m_b1500_g5_e13;1m_b1500_g5_e15;1m_b1500_g5_e18;1m_b1500_g5_e24;1m_b1500_g5_e26;1m_b1500_g5_e27
