date,RR:0.50,RR:1.00,RR:2.50,GG:1.25,rr_pair,cross_pair,rr_triple,cross_triple
2020-01-02,81.8,81.8,122.3,138.6,102.05,110.19999999999999,95.3,100.73333333333333
2020-01-03,95.0,90.5,173.1,80.85,134.05,87.925,119.53333333333333,88.78333333333333
2020-01-06,294.2,227.25,314.45,249.7,304.325,271.95,278.6333333333333,257.05
2020-01-07,243.85,114.0,223.7,145.85,233.77499999999998,194.85,193.85,167.9
2020-01-08,305.5,216.65,279.9,542.15,292.7,423.825,267.35,354.76666666666665
2020-01-09,261.2,195.4,244.2,539.3,252.7,400.25,233.6,331.96666666666664
2020-01-10,206.85,179.05,210.95,577.1,208.89999999999998,391.975,198.95,321.0
2020-01-13,311.9,305.65,356.8,704.9,334.35,508.4,324.7833333333333,440.81666666666666
2020-01-14,279.25,257.0,308.15,569.15,293.7,424.2,281.46666666666664,368.46666666666664
2020-01-15,290.85,180.2,252.45,516.7,271.65,403.77500000000003,241.16666666666666,329.25
2020-01-16,333.5,265.9,329.15,637.85,331.325,485.675,309.51666666666665,412.4166666666667
2020-01-17,373.25,283.15,364.4,701.55,368.825,537.4,340.26666666666665,452.65
2020-01-20,350.35,234.8,329.6,693.95,339.975,522.1500000000001,304.9166666666667,426.3666666666667
2020-01-21,333.55,240.95,324.4,652.0,328.975,492.775,299.6333333333333,408.8333333333333
2020-01-22,351.7,305.65,285.65,657.4,318.67499999999995,504.54999999999995,314.3333333333333,438.25
2020-01-23,379.95,373.95,331.0,652.55,355.475,516.25,361.6333333333333,468.81666666666666
2020-01-24,353.6,319.15,296.2,525.7,324.9,439.65000000000003,322.98333333333335,399.48333333333335
2020-01-27,338.25,164.9,75.0,289.5,206.625,313.875,192.71666666666667,264.2166666666667
2020-01-28,406.5,277.65,244.8,392.0,325.65,399.25,309.65,358.71666666666664
2020-01-29,325.2,258.4,149.6,499.7,237.39999999999998,412.45,244.39999999999998,361.09999999999997
2020-01-30,257.9,355.65,291.85,885.9,274.875,571.9,301.8,499.81666666666666
2020-01-31,160.1,232.35,120.15,864.2,140.125,512.15,170.86666666666667,418.8833333333333
2020-02-03,331.75,341.5,211.5,1016.6,271.625,674.175,294.9166666666667,563.2833333333333
2020-02-04,350.85,411.65,437.2,1358.3,394.025,854.575,399.9,706.9333333333333
2020-02-05,517.05,442.9,545.45,1490.0,531.25,1003.525,501.8,816.65
2020-02-06,595.65,494.0,560.65,1560.6,578.15,1078.125,550.1,883.4166666666666
2020-02-07,588.3,418.8,412.45,1375.25,500.375,981.775,473.18333333333334,794.1166666666667
2020-02-10,643.5,391.0,466.15,1670.5,554.825,1157.0,500.21666666666664,901.6666666666666
2020-02-11,531.7,260.7,312.9,1546.15,422.3,1038.9250000000002,368.43333333333334,779.5166666666667
2020-02-12,581.9,330.9,424.2,1668.4,503.04999999999995,1125.15,445.66666666666663,860.4
2020-02-13,431.55,229.05,342.85,1693.1,387.20000000000005,1062.325,334.48333333333335,784.5666666666666
