account_id,cohort_month,activated_at,alive,died_at,death_reason,death_equity_usd,death_trade_key,lifetime_days,trades_taken,wins,losses,gross_pnl_usd,commission_usd,payout_count,requests_blocked,requests_withheld,withdrawn_usd,received_usd,months_accrued,entitlement_accrued_usd,entitlement_outstanding_usd,first_withdrawal_at,equity_profit_usd,balance_usd,max_equity_profit_usd,min_equity_profit_usd,peak_profit_usd,floor_profit_usd,headroom_usd
1,2020-01,2020-01-01 00:00:00,True,,,,,,12659,6451,6208,39210.5,13291.95,14,8,57,25818.54,25736.69,78,117000.0,91181.46,2022-05-01 00:00:00,100.01,25100.01,10007.35,-55.5,10044.05,100.0,0.01
2,2020-02,2020-02-01 00:00:00,False,2020-02-28 11:25:40,intratrade_excursion,-324.95,RR2.50:8-9:12:53,27,150,49,100,-26.5,156.45,0,0,0,0.0,0.0,0,0.0,0.0,,-182.95,,1262.65,-324.95,1300.2,-199.8,
3,2020-03,2020-03-01 00:00:00,True,,,,,,12345,6276,6069,38260.0,12962.25,14,6,57,25197.74,25177.97,76,114000.0,88802.26,2024-04-01 00:00:00,100.01,25100.01,10007.35,-595.0,10044.05,100.0,0.01
4,2020-04,2020-04-01 00:00:00,True,,,,,,12197,3609,8588,71617.5,12806.85,29,9,38,58710.64,55339.56,75,112500.0,53789.36,2020-12-01 00:00:00,100.01,25100.01,12576.75,-1004.1,12678.1,100.0,0.01
5,2020-05,2020-05-01 00:00:00,False,2020-12-14 22:45:20,intratrade_excursion,58.05,RR0.50:20-21:75:280,227,1200,613,586,1404.0,1258.95,0,0,7,0.0,0.0,7,10500.0,10500.0,,145.05,,2178.95,-206.4,2210.95,100.0,
6,2020-06,2020-06-01 00:00:00,False,2020-06-26 05:16:40,intratrade_excursion,-1102.85,RR2.50:4-5:37:153,25,148,36,111,-920.0,154.35,0,0,0,0.0,0.0,0,0.0,0.0,,-1074.35,,353.5,-1102.85,402.0,-1098.0,
7,2020-07,2020-07-01 00:00:00,False,2020-12-11 18:37:40,intratrade_excursion,28.05,RR0.50:17-18:60:281,163,880,447,432,1112.5,922.95,0,0,5,0.0,0.0,5,7500.0,7500.0,,189.55,,2032.95,-263.85,2064.95,100.0,
8,2020-08,2020-08-01 00:00:00,True,,,,,,11570,3411,8159,66962.0,12148.5,26,7,39,54713.49,51742.12,71,106500.0,51786.51,2022-02-01 00:00:00,100.01,25100.01,12576.75,-142.0,12678.1,100.0,0.01
9,2020-09,2020-09-01 00:00:00,False,2020-11-17 16:38:40,intratrade_excursion,-269.65,RR0.50:13-14:82:302,77,414,218,195,235.0,433.65,0,0,2,0.0,0.0,2,3000.0,3000.0,,-198.65,,1260.75,-405.75,1292.75,-207.25,
10,2020-10,2020-10-01 00:00:00,False,2020-10-29 20:30:00,intratrade_excursion,-629.55,RR2.50:14-15:67:267,28,162,48,113,-364.5,169.05,0,0,0,0.0,0.0,0,0.0,0.0,,-533.55,,933.6,-1156.85,944.15,-555.85,
11,2020-11,2020-11-01 00:00:00,False,2020-11-17 16:38:40,intratrade_excursion,-1085.05,RR0.50:13-14:82:302,16,92,43,48,-918.5,95.55,0,0,0,0.0,0.0,0,0.0,0.0,,-1014.05,,445.35,-1085.05,477.35,-1022.65,
12,2020-12,2020-12-01 00:00:00,False,2021-03-05 14:30:00,intratrade_excursion,-337.15,RR2.50:12-13:98:366,94,514,150,363,232.0,538.65,0,0,3,0.0,0.0,3,4500.0,4500.0,,-306.65,,1128.65,-1255.7,1188.65,-311.35,
13,2021-01,2021-01-01 00:00:00,False,2021-05-19 09:35:40,intratrade_excursion,86.2,RR0.50:8-9:129:476,138,727,375,351,882.0,762.3,0,0,4,0.0,0.0,4,6000.0,6000.0,,119.7,,2139.65,-315.2,2163.85,100.0,
14,2021-02,2021-02-01 00:00:00,False,2021-03-05 16:57:40,intratrade_excursion,-25.3,RR2.50:16-17:176:480,32,187,61,125,493.5,195.3,0,0,1,0.0,0.0,1,1500.0,1500.0,,298.2,,1656.1,-36.0,1716.1,100.0,
15,2021-03,2021-03-01 00:00:00,False,2021-05-17 10:30:40,intratrade_excursion,54.85,RR0.50:10-11:120:443,77,394,198,195,525.5,412.65,0,0,2,0.0,0.0,2,3000.0,3000.0,,112.85,,1600.65,-434.05,1624.85,100.0,
16,2021-04,2021-04-01 00:00:00,False,2021-05-06 04:30:00,intratrade_excursion,42.85,RR2.50:2-3:129:474,35,184,55,128,249.5,192.15,0,0,1,0.0,0.0,1,1500.0,1500.0,,57.35,,1487.75,-49.55,1545.2,45.2,
17,2021-05,2021-05-01 00:00:00,False,2021-05-17 18:51:40,intratrade_excursion,-1334.35,RR0.50:17-18:93:423,16,78,31,46,-1092.0,80.85,0,0,0,0.0,0.0,0,0.0,0.0,,-1172.85,,288.85,-1334.35,318.7,-1181.3,
18,2021-06,2021-06-01 00:00:00,False,2021-07-19 11:39:40,intratrade_excursion,-1206.35,RR2.50:8-9:151:539,48,258,68,189,-895.0,269.85,0,0,1,0.0,0.0,1,1500.0,1500.0,,-1164.85,,289.2,-1206.35,303.55,-1196.45,
