policy,retained_balance_usd,headroom_usd,ongoing_pocket_usd,terminal_received_usd,combined_pocket_usd,alive_before_terminal,ongoing_payouts,terminal_payouts,profit_before_terminal_usd,profit_after_terminal_usd,booked_net_trading_usd,firm_split_usd,path_ceiling_usd,unextracted_usd,path_fingerprint,stage,copies_checked,alive_rr050,alive_rr250,trading_neutral,earnings_vs_benchmark_usd,book_ceiling_usd,ceiling_capture
fixed_1000_backlog,,,75373.65,0.0,75373.65,4,76,0,16370.2,16370.2,84739.15,0.0,91743.85,16370.2,3410b1bb9d269f84306cf8d0882444c62b684a5fcae4be637dc5a67516b02771,coarse,41852,2,2,False,-386147.35,481308.75,0.156601
fixed_1000_backlog,25100.0,0.0,75373.65,0.0,75373.65,4,76,0,16370.2,16370.2,84739.15,0.0,91743.85,16370.2,3410b1bb9d269f84306cf8d0882444c62b684a5fcae4be637dc5a67516b02771,coarse,41852,2,2,False,-386147.35,481308.75,0.156601
fixed_1000_backlog,25600.0,500.0,75152.4,0.0,75152.4,4,76,0,16370.2,16370.2,84517.55,0.0,91522.6,16370.2,ec010bdde71864f13a45a639e0380d2239dc14e484d87efbb2e3b0a5c770c4ae,coarse,41854,2,2,False,-386368.95,481308.75,0.156142
fixed_1000_backlog,26100.0,1000.0,74652.4,0.0,74652.4,4,76,0,16370.2,16370.2,84124.1,0.0,91022.6,16370.2,583a890527746770eee05dcdc8724ca6c8c662b9e8c71fbada49881a7a46d1dd,coarse,41883,2,2,False,-386762.4,481308.75,0.155103
fixed_1000_backlog,26600.0,1500.0,75941.2,0.0,75941.2,4,79,0,16370.2,16370.2,85268.65,0.0,92311.4,16370.2,59eebf846930c096a3f24f64c686e705a44c3fb009414e98c5bc0ea9a375a803,coarse,45742,2,2,False,-385617.85,481308.75,0.157781
fixed_1000_backlog,27100.0,2000.0,68841.75,0.0,68841.75,4,70,0,16370.2,16370.2,77414.65,0.0,85211.95,16370.2,48c8259e619acd296cb527d687b913e1991082b238ab197d0d8bae526fac40f6,coarse,46782,2,2,False,-393471.85,481308.75,0.14303
fixed_1000_backlog,27600.0,2500.0,70618.6,0.0,70618.6,4,70,0,16370.2,16370.2,79899.55,0.0,86988.8,16370.2,5ba888028a02f91159f4429cf44875b94ccf7bf9da4cf005c6ac728ae8e7c95f,coarse,50734,2,2,False,-390986.95,481308.75,0.146722
fixed_1000_backlog,28100.0,3000.0,85695.4,0.0,85695.4,4,81,0,16370.2,16370.2,94815.4,0.0,102065.6,16370.2,563b0420955e63113afd8cb8184920574ad4e5f21a943c179ca2f23597706896,coarse,55647,2,2,False,-376071.1,481308.75,0.178047
fixed_1000_backlog,28600.0,3500.0,196832.75,2509.74,199342.49,6,154,1,23986.05,21476.31,215056.5,600.0,221418.8,22076.31,f459ad2cd716e46cf45b846b76629742b12409a88e87b96972e1b2bb44b0158e,coarse,97883,3,3,False,-255830.0,481308.75,0.414168
fixed_1000_backlog,29100.0,4000.0,234341.52,3009.74,237351.26,8,178,1,33290.85,30281.11,259569.95,590.48,268222.85,30871.59,3afcecd22baf0bb91094bca8323fba6dc4b808c3222deaffed4459983a5d3f20,coarse,113912,5,3,False,-211316.55,481308.75,0.493137
fixed_1000_backlog,29600.0,4500.0,264494.29,38301.52,302795.81,18,180,11,78220.9,39227.15,333241.95,1192.24,343215.2,40419.39,c86c97d9ccc75a98a22361d8820aead37c5aa6f05eae1fa5ace82a658b590d37,coarse,120452,14,4,False,-137644.55,481308.75,0.629109
fixed_1000_backlog,30100.0,5000.0,256881.39,44301.52,301182.91,18,176,12,84746.1,39752.35,332096.65,1192.24,342127.5,40944.59,eb70606150e73d0425af6acff39f013e3da56830b9da283edf0923521ea1996e,coarse,120468,14,4,False,-138789.85,481308.75,0.625758
fixed_1000_backlog,30600.0,5500.0,285280.09,56890.96,342171.05,18,192,14,90928.8,33345.61,368723.75,3024.89,378541.55,36370.5,6f951faf4eb28e0b4a75e9266de9be363904f9a2221098fe0540429d6302a68c,coarse,127846,14,4,False,-102162.75,481308.75,0.710918
fixed_1000_backlog,31100.0,6000.0,323501.62,69640.8,393142.42,20,205,16,105295.3,34045.63,423893.9,6923.55,434111.6,40969.18,7f559c3c80d0b0cd6f0d71e92abfa9259f8340d555b3c00c760d3cd5e502ac6d,coarse,136391,14,6,False,-46992.6,481308.75,0.81682
fixed_1000_backlog,31200.0,6100.0,361832.75,74935.72,436768.47,21,224,17,111278.55,34245.64,470886.5,10294.64,481308.75,44540.28,b66f034022ab078f9a5ad22189a0201b8ceaf38cd9a658c535da3203eddceb5e,local_refinement,144328,14,7,True,0.0,481308.75,0.90746
fixed_1000_backlog,31300.0,6200.0,359242.3,70895.98,430138.28,21,224,16,113899.0,40875.83,470886.5,10294.64,481308.75,51170.47,b66f034022ab078f9a5ad22189a0201b8ceaf38cd9a658c535da3203eddceb5e,local_refinement,144328,14,7,True,0.0,481308.75,0.893685
fixed_1000_backlog,31400.0,6300.0,357847.85,71965.98,429813.83,21,224,16,115323.45,41200.28,470886.5,10294.64,481308.75,51494.92,b66f034022ab078f9a5ad22189a0201b8ceaf38cd9a658c535da3203eddceb5e,local_refinement,144328,14,7,True,0.0,481308.75,0.893011
fixed_1000_backlog,31500.0,6400.0,356336.25,73035.98,429372.23,21,219,16,116865.05,41641.88,470886.5,10294.64,481308.75,51936.52,b66f034022ab078f9a5ad22189a0201b8ceaf38cd9a658c535da3203eddceb5e,local_refinement,144328,14,7,True,0.0,481308.75,0.892093
fixed_1000_backlog,31600.0,6500.0,354766.25,74105.98,428872.23,21,218,16,118465.05,42141.88,470886.5,10294.64,481308.75,52436.52,b66f034022ab078f9a5ad22189a0201b8ceaf38cd9a658c535da3203eddceb5e,coarse,144328,14,7,True,0.0,481308.75,0.891054
fixed_1000_backlog,31700.0,6600.0,353196.26,75175.98,428372.24,21,217,16,120065.05,42641.88,470886.5,10294.63,481308.75,52936.51,b66f034022ab078f9a5ad22189a0201b8ceaf38cd9a658c535da3203eddceb5e,local_refinement,144328,14,7,True,0.0,481308.75,0.890015
fixed_1000_backlog,31800.0,6700.0,350845.71,84059.28,434904.99,21,213,17,122445.6,35796.54,470886.5,10607.22,481308.75,46403.76,b66f034022ab078f9a5ad22189a0201b8ceaf38cd9a658c535da3203eddceb5e,local_refinement,144328,14,7,True,0.0,481308.75,0.903588
fixed_1000_backlog,31900.0,6800.0,349475.7,85129.28,434604.98,21,212,17,123845.6,36096.54,470886.5,10607.23,481308.75,46703.77,b66f034022ab078f9a5ad22189a0201b8ceaf38cd9a658c535da3203eddceb5e,local_refinement,144328,14,7,True,0.0,481308.75,0.902965
fixed_1000_backlog,32000.0,6900.0,348045.3,86199.28,434244.58,21,212,17,125306.0,36456.94,470886.5,10607.23,481308.75,47064.17,b66f034022ab078f9a5ad22189a0201b8ceaf38cd9a658c535da3203eddceb5e,local_refinement,144328,14,7,True,0.0,481308.75,0.902216
fixed_1000_backlog,32100.0,7000.0,347990.9,85769.28,433760.18,21,212,16,125390.4,36941.34,470886.5,10607.23,481308.75,47548.57,b66f034022ab078f9a5ad22189a0201b8ceaf38cd9a658c535da3203eddceb5e,coarse,144328,14,7,True,0.0,481308.75,0.90121
fixed_1000_backlog,32200.0,7100.0,346436.7,86839.28,433275.98,21,212,16,126974.6,37425.54,470886.5,10607.23,481308.75,48032.77,b66f034022ab078f9a5ad22189a0201b8ceaf38cd9a658c535da3203eddceb5e,local_refinement,144328,14,7,True,0.0,481308.75,0.900204
fixed_1000_backlog,32300.0,7200.0,344504.9,87909.28,432414.18,21,211,16,128936.4,38287.34,470886.5,10607.23,481308.75,48894.57,b66f034022ab078f9a5ad22189a0201b8ceaf38cd9a658c535da3203eddceb5e,local_refinement,144328,14,7,True,0.0,481308.75,0.898413
fixed_1000_backlog,32400.0,7300.0,342787.75,88979.28,431767.03,21,210,16,130683.55,38934.49,470886.5,10607.23,481308.75,49541.72,b66f034022ab078f9a5ad22189a0201b8ceaf38cd9a658c535da3203eddceb5e,local_refinement,144328,14,7,True,0.0,481308.75,0.897069
