case,experiment,phase,start_year,path_order,portfolio,nominal_sleeves,rr_count,rr_width,mean_target,net_operating_cash,receipts,total_costs,copies,prior_control_reproduced,max_same_signal_deaths,same_signal_multi_death_events,worst_1d_cohort_deaths,worst_1d_fraction,worst_1d_at,half_loss_1d_episodes_min5,peak_1d_replacement_demand,possible_1d_death_cluster,worst_5d_cohort_deaths,worst_5d_fraction,worst_5d_at,half_loss_5d_episodes_min5,peak_5d_replacement_demand,possible_5d_death_cluster,worst_20d_cohort_deaths,worst_20d_fraction,worst_20d_at,half_loss_20d_episodes_min5,peak_20d_replacement_demand,possible_20d_death_cluster,book_wipeouts,days_empty_after_first_activation,deaths,accounts,alive,largest_within_sleeve_signal_loss,max_sleeves_lost_same_signal,multi_sleeve_signal_events,max_sleeves_lost_same_day,multi_sleeve_day_events,sleeve_loss_events,full_copier_sleeve_loss_events,observed_live_days,mean_live_accounts,mean_occupied_sleeves,mean_equal_headroom_fraction,mean_effective_headroom_groups,mean_total_headroom,mean_total_positive_equity,march1_alive,march_cohort_deaths,march_total_deaths,march31_alive
primary__isolation__2020__mae_first__perm01,primary,isolation,2020,mae_first,perm01,4,4,3.0,6800.0,-4000.0,0.0,4000.0,14015,False,5,4,10,1.0,2021-06-04T00:00:00,3,10,15,15,1.0,2021-05-31T00:00:00,3,15,15,15,1.0,2021-05-10T00:00:00,3,15,15,1,1865.2451,20,20,0,5,1,0,2,1,4,4,521,6.727447216890595,1.345489443378119,0.9265834932821497,1.2756238080614204,12131.207293666026,10207.846449136276,0,0,0,0
primary__isolation__2020__mae_first__perm02,primary,isolation,2020,mae_first,perm02,4,4,3.0,6800.0,-4000.0,0.0,4000.0,14015,False,5,4,10,1.0,2021-06-04T00:00:00,3,10,15,15,1.0,2021-05-31T00:00:00,3,15,15,15,1.0,2021-05-10T00:00:00,3,15,15,1,1865.2451,20,20,0,5,1,0,2,1,4,4,521,6.727447216890595,1.345489443378119,0.9265834932821497,1.2756238080614204,12131.207293666026,10207.846449136276,0,0,0,0
primary__isolation__2020__mae_first__perm03,primary,isolation,2020,mae_first,perm03,4,4,3.0,6800.0,-4000.0,0.0,4000.0,14015,False,5,4,10,1.0,2021-06-04T00:00:00,3,10,15,15,1.0,2021-05-31T00:00:00,3,15,15,15,1.0,2021-05-10T00:00:00,3,15,15,1,1865.2451,20,20,0,5,1,0,2,1,4,4,521,6.727447216890595,1.345489443378119,0.9265834932821497,1.2756238080614204,12131.207293666026,10207.846449136276,0,0,0,0
primary__isolation__2020__mae_first__perm04,primary,isolation,2020,mae_first,perm04,4,4,3.0,6800.0,-4000.0,0.0,4000.0,14015,False,5,4,10,1.0,2021-06-04T00:00:00,3,10,15,15,1.0,2021-05-31T00:00:00,3,15,15,15,1.0,2021-05-10T00:00:00,3,15,15,1,1865.2451,20,20,0,5,1,0,2,1,4,4,521,6.727447216890595,1.345489443378119,0.9265834932821497,1.2756238080614204,12131.207293666026,10207.846449136276,0,0,0,0
primary__isolation__2020__mae_first__perm05,primary,isolation,2020,mae_first,perm05,4,4,3.0,6800.0,-4000.0,0.0,4000.0,14015,False,5,4,10,1.0,2021-06-04T00:00:00,3,10,15,15,1.0,2021-05-31T00:00:00,3,15,15,15,1.0,2021-05-10T00:00:00,3,15,15,1,1865.2451,20,20,0,5,1,0,2,1,4,4,521,6.727447216890595,1.345489443378119,0.9265834932821497,1.2756238080614204,12131.207293666026,10207.846449136276,0,0,0,0
primary__isolation__2020__mae_first__perm06,primary,isolation,2020,mae_first,perm06,4,4,3.0,6800.0,-4000.0,0.0,4000.0,14015,False,5,4,10,1.0,2021-06-04T00:00:00,3,10,15,15,1.0,2021-05-31T00:00:00,3,15,15,15,1.0,2021-05-10T00:00:00,3,15,15,1,1865.2451,20,20,0,5,1,0,2,1,4,4,521,6.727447216890595,1.345489443378119,0.9265834932821497,1.2756238080614204,12131.207293666026,10207.846449136276,0,0,0,0
primary__isolation__2020__mae_first__perm07,primary,isolation,2020,mae_first,perm07,4,4,3.0,6800.0,-4000.0,0.0,4000.0,14015,False,5,4,10,1.0,2021-06-04T00:00:00,3,10,15,15,1.0,2021-05-31T00:00:00,3,15,15,15,1.0,2021-05-10T00:00:00,3,15,15,1,1865.2451,20,20,0,5,1,0,2,1,4,4,521,6.727447216890595,1.345489443378119,0.9265834932821497,1.2756238080614204,12131.207293666026,10207.846449136276,0,0,0,0
primary__isolation__2020__mae_first__perm08,primary,isolation,2020,mae_first,perm08,4,4,3.0,6800.0,-4000.0,0.0,4000.0,14015,False,5,4,10,1.0,2021-06-04T00:00:00,3,10,15,15,1.0,2021-05-31T00:00:00,3,15,15,15,1.0,2021-05-10T00:00:00,3,15,15,1,1865.2451,20,20,0,5,1,0,2,1,4,4,521,6.727447216890595,1.345489443378119,0.9265834932821497,1.2756238080614204,12131.207293666026,10207.846449136276,0,0,0,0
primary__isolation__2020__mae_first__perm09,primary,isolation,2020,mae_first,perm09,4,4,3.0,6800.0,-4000.0,0.0,4000.0,14015,False,5,4,10,1.0,2021-06-04T00:00:00,3,10,15,15,1.0,2021-05-31T00:00:00,3,15,15,15,1.0,2021-05-10T00:00:00,3,15,15,1,1865.2451,20,20,0,5,1,0,2,1,4,4,521,6.727447216890595,1.345489443378119,0.9265834932821497,1.2756238080614204,12131.207293666026,10207.846449136276,0,0,0,0
primary__isolation__2020__mae_first__perm10,primary,isolation,2020,mae_first,perm10,4,4,3.0,6800.0,-4000.0,0.0,4000.0,14015,False,5,4,10,1.0,2021-06-04T00:00:00,3,10,15,15,1.0,2021-05-31T00:00:00,3,15,15,15,1.0,2021-05-10T00:00:00,3,15,15,1,1865.2451,20,20,0,5,1,0,2,1,4,4,521,6.727447216890595,1.345489443378119,0.9265834932821497,1.2756238080614204,12131.207293666026,10207.846449136276,0,0,0,0
