case,portfolio,phase,start_year,first_sleeve,assignment_order,at,live_before_final_loss,max_live_ever_before,startup,reopened_at,days_until_reopening
primary__isolation__2020__mae_first__perm01,perm01,isolation,2020,0.50,0.50/1.50/2.50/3.50,2021-06-04T15:37:40,5,20,False,,
primary__isolation__2020__mae_first__perm02,perm02,isolation,2020,0.50,0.50/1.50/3.50/2.50,2021-06-04T15:37:40,5,20,False,,
primary__isolation__2020__mae_first__perm03,perm03,isolation,2020,0.50,0.50/2.50/1.50/3.50,2021-06-04T15:37:40,5,20,False,,
primary__isolation__2020__mae_first__perm04,perm04,isolation,2020,0.50,0.50/2.50/3.50/1.50,2021-06-04T15:37:40,5,20,False,,
primary__isolation__2020__mae_first__perm05,perm05,isolation,2020,0.50,0.50/3.50/1.50/2.50,2021-06-04T15:37:40,5,20,False,,
primary__isolation__2020__mae_first__perm06,perm06,isolation,2020,0.50,0.50/3.50/2.50/1.50,2021-06-04T15:37:40,5,20,False,,
primary__isolation__2020__mae_first__perm07,perm07,isolation,2020,1.50,1.50/0.50/2.50/3.50,2021-06-04T15:37:40,5,20,False,,
primary__isolation__2020__mae_first__perm08,perm08,isolation,2020,1.50,1.50/0.50/3.50/2.50,2021-06-04T15:37:40,5,20,False,,
primary__isolation__2020__mae_first__perm09,perm09,isolation,2020,1.50,1.50/2.50/0.50/3.50,2021-06-04T15:37:40,5,20,False,,
primary__isolation__2020__mae_first__perm10,perm10,isolation,2020,1.50,1.50/2.50/3.50/0.50,2021-06-04T15:37:40,5,20,False,,
primary__isolation__2020__mae_first__perm11,perm11,isolation,2020,1.50,1.50/3.50/0.50/2.50,2021-06-04T15:37:40,5,20,False,,
primary__isolation__2020__mae_first__perm12,perm12,isolation,2020,1.50,1.50/3.50/2.50/0.50,2021-06-04T15:37:40,5,20,False,,
primary__isolation__2020__mae_first__perm13,perm13,isolation,2020,2.50,2.50/0.50/1.50/3.50,2021-06-04T15:37:40,5,20,False,,
primary__isolation__2020__mae_first__perm14,perm14,isolation,2020,2.50,2.50/0.50/3.50/1.50,2021-06-04T15:37:40,5,20,False,,
primary__isolation__2020__mae_first__perm15,perm15,isolation,2020,2.50,2.50/1.50/0.50/3.50,2021-06-04T15:37:40,5,20,False,,
primary__isolation__2020__mae_first__perm16,perm16,isolation,2020,2.50,2.50/1.50/3.50/0.50,2021-06-04T15:37:40,5,20,False,,
primary__isolation__2020__mae_first__perm17,perm17,isolation,2020,2.50,2.50/3.50/0.50/1.50,2021-06-04T15:37:40,5,20,False,,
primary__isolation__2020__mae_first__perm18,perm18,isolation,2020,2.50,2.50/3.50/1.50/0.50,2021-06-04T15:37:40,5,20,False,,
primary__isolation__2020__mae_first__perm20,perm20,isolation,2020,3.50,3.50/0.50/2.50/1.50,2021-06-04T15:37:40,5,20,False,,
primary__isolation__2020__mae_first__perm19,perm19,isolation,2020,3.50,3.50/0.50/1.50/2.50,2021-06-04T15:37:40,5,20,False,,
primary__isolation__2020__mae_first__perm21,perm21,isolation,2020,3.50,3.50/1.50/0.50/2.50,2021-06-04T15:37:40,5,20,False,,
primary__isolation__2020__mae_first__perm22,perm22,isolation,2020,3.50,3.50/1.50/2.50/0.50,2021-06-04T15:37:40,5,20,False,,
primary__isolation__2020__mae_first__perm23,perm23,isolation,2020,3.50,3.50/2.50/0.50/1.50,2021-06-04T15:37:40,5,20,False,,
primary__isolation__2020__mae_first__perm24,perm24,isolation,2020,3.50,3.50/2.50/1.50/0.50,2021-06-04T15:37:40,5,20,False,,
primary__operating__2020__mae_first__perm07,perm07,operating,2020,1.50,1.50/0.50/2.50/3.50,2020-03-12T17:19:40,1,1,True,2020-03-13T00:00:00,0.27800925925925923
