at,account_id,cohort_month,requested_usd,allowed_usd,balance_usd,blocked_by,blockers
2022-03-21 00:00:00,4,2020-03,333.55,333.55,56933.55,minimum_payout,minimum_payout
2022-03-28 00:00:00,4,2020-03,388.6,388.6,56988.6,minimum_payout,minimum_payout
2022-04-11 00:00:00,4,2020-03,532.8,0.0,57132.8,trading_days,trading_days|profitable_days
2022-04-18 00:00:00,4,2020-03,1164.8,0.0,57764.8,profitable_days,profitable_days
2022-08-22 00:00:00,4,2020-03,26.85,26.85,56626.85,minimum_payout,minimum_payout
2022-09-12 00:00:00,4,2020-03,173.5,173.5,56773.5,minimum_payout,minimum_payout
2022-09-26 00:00:00,4,2020-03,83.35,83.35,56683.35,minimum_payout,minimum_payout
2022-10-03 00:00:00,4,2020-03,489.65,489.65,57089.65,minimum_payout,minimum_payout
2022-10-10 00:00:00,4,2020-03,427.85,427.85,57027.85,minimum_payout,minimum_payout
2022-10-24 00:00:00,4,2020-03,827.95,0.0,57427.95,trading_days,trading_days|profitable_days
2022-10-31 00:00:00,4,2020-03,110.8,0.0,56710.8,profitable_days,profitable_days
2023-01-30 00:00:00,4,2020-03,49.8,49.8,56649.8,minimum_payout,minimum_payout
2023-02-06 00:00:00,4,2020-03,73.25,73.25,56673.25,minimum_payout,minimum_payout
2023-02-13 00:00:00,4,2020-03,448.7,448.7,57048.7,minimum_payout,minimum_payout
2023-03-20 00:00:00,4,2020-03,434.45,434.45,57034.45,minimum_payout,minimum_payout
2023-03-20 00:00:00,16,2022-07,48.05,48.05,56648.05,minimum_payout,minimum_payout
2023-04-03 00:00:00,4,2020-03,588.85,0.0,57188.85,trading_days,trading_days|profitable_days
2023-04-03 00:00:00,12,2022-06,251.8,251.8,56851.8,minimum_payout,minimum_payout
2023-04-03 00:00:00,13,2022-06,251.8,251.8,56851.8,minimum_payout,minimum_payout
2023-04-03 00:00:00,14,2022-06,251.8,251.8,56851.8,minimum_payout,minimum_payout
2023-04-03 00:00:00,15,2022-06,251.8,251.8,56851.8,minimum_payout,minimum_payout
2023-04-03 00:00:00,16,2022-07,588.85,0.0,57188.85,trading_days,trading_days|profitable_days
2023-04-10 00:00:00,12,2022-06,429.05,429.05,57029.05,minimum_payout,minimum_payout
2023-04-10 00:00:00,13,2022-06,429.05,429.05,57029.05,minimum_payout,minimum_payout
2023-04-10 00:00:00,14,2022-06,429.05,429.05,57029.05,minimum_payout,minimum_payout
2023-04-10 00:00:00,15,2022-06,429.05,429.05,57029.05,minimum_payout,minimum_payout
2023-04-17 00:00:00,4,2020-03,531.6,0.0,57131.6,trading_days,trading_days|profitable_days
2023-04-17 00:00:00,16,2022-07,531.6,0.0,57131.6,trading_days,trading_days|profitable_days
2023-04-24 00:00:00,4,2020-03,162.1,0.0,56762.1,profitable_days,profitable_days
2023-04-24 00:00:00,16,2022-07,162.1,0.0,56762.1,profitable_days,profitable_days
2023-05-01 00:00:00,12,2022-06,141.15,0.0,56741.15,profitable_days,profitable_days
2023-05-01 00:00:00,13,2022-06,141.15,0.0,56741.15,profitable_days,profitable_days
2023-05-01 00:00:00,14,2022-06,141.15,0.0,56741.15,profitable_days,profitable_days
2023-05-01 00:00:00,15,2022-06,141.15,0.0,56741.15,profitable_days,profitable_days
2023-07-24 00:00:00,4,2020-03,171.35,171.35,56771.35,minimum_payout,minimum_payout
2023-07-24 00:00:00,12,2022-06,312.5,312.5,56912.5,minimum_payout,minimum_payout
2023-07-24 00:00:00,13,2022-06,312.5,312.5,56912.5,minimum_payout,minimum_payout
2023-07-24 00:00:00,14,2022-06,312.5,312.5,56912.5,minimum_payout,minimum_payout
2023-07-24 00:00:00,15,2022-06,312.5,312.5,56912.5,minimum_payout,minimum_payout
2023-07-24 00:00:00,16,2022-07,171.35,171.35,56771.35,minimum_payout,minimum_payout
2023-07-31 00:00:00,4,2020-03,140.6,140.6,56740.6,minimum_payout,minimum_payout
2023-07-31 00:00:00,12,2022-06,281.75,281.75,56881.75,minimum_payout,minimum_payout
2023-07-31 00:00:00,13,2022-06,281.75,281.75,56881.75,minimum_payout,minimum_payout
2023-07-31 00:00:00,14,2022-06,281.75,281.75,56881.75,minimum_payout,minimum_payout
2023-07-31 00:00:00,15,2022-06,281.75,281.75,56881.75,minimum_payout,minimum_payout
2023-07-31 00:00:00,16,2022-07,140.6,140.6,56740.6,minimum_payout,minimum_payout
2023-08-14 00:00:00,12,2022-06,76.7,76.7,56676.7,minimum_payout,minimum_payout
2023-08-14 00:00:00,13,2022-06,76.7,76.7,56676.7,minimum_payout,minimum_payout
2023-08-14 00:00:00,14,2022-06,76.7,76.7,56676.7,minimum_payout,minimum_payout
2023-08-14 00:00:00,15,2022-06,76.7,76.7,56676.7,minimum_payout,minimum_payout
2023-09-04 00:00:00,4,2020-03,650.35,0.0,57250.35,trading_days,trading_days|profitable_days
2023-09-04 00:00:00,12,2022-06,650.35,0.0,57250.35,trading_days,trading_days|profitable_days
2023-09-04 00:00:00,13,2022-06,650.35,0.0,57250.35,trading_days,trading_days|profitable_days
2023-09-04 00:00:00,14,2022-06,650.35,0.0,57250.35,trading_days,trading_days|profitable_days
2023-09-04 00:00:00,15,2022-06,650.35,0.0,57250.35,trading_days,trading_days|profitable_days
2023-09-04 00:00:00,16,2022-07,650.35,0.0,57250.35,trading_days,trading_days|profitable_days
2023-09-11 00:00:00,4,2020-03,484.8,0.0,57084.8,profitable_days,profitable_days
2023-09-11 00:00:00,12,2022-06,484.8,0.0,57084.8,profitable_days,profitable_days
2023-09-11 00:00:00,13,2022-06,484.8,0.0,57084.8,profitable_days,profitable_days
2023-09-11 00:00:00,14,2022-06,484.8,0.0,57084.8,profitable_days,profitable_days
2023-09-11 00:00:00,15,2022-06,484.8,0.0,57084.8,profitable_days,profitable_days
2023-09-11 00:00:00,16,2022-07,484.8,0.0,57084.8,profitable_days,profitable_days
2023-09-18 00:00:00,4,2020-03,378.1,378.1,56978.1,minimum_payout,minimum_payout
2023-09-18 00:00:00,12,2022-06,378.1,378.1,56978.1,minimum_payout,minimum_payout
2023-09-18 00:00:00,13,2022-06,378.1,378.1,56978.1,minimum_payout,minimum_payout
2023-09-18 00:00:00,14,2022-06,378.1,378.1,56978.1,minimum_payout,minimum_payout
2023-09-18 00:00:00,15,2022-06,378.1,378.1,56978.1,minimum_payout,minimum_payout
2023-09-18 00:00:00,16,2022-07,378.1,378.1,56978.1,minimum_payout,minimum_payout
2024-01-15 00:00:00,4,2020-03,164.0,164.0,56764.0,minimum_payout,minimum_payout
2024-01-15 00:00:00,12,2022-06,164.0,164.0,56764.0,minimum_payout,minimum_payout
2024-01-15 00:00:00,13,2022-06,164.0,164.0,56764.0,minimum_payout,minimum_payout
2024-01-15 00:00:00,14,2022-06,164.0,164.0,56764.0,minimum_payout,minimum_payout
2024-01-15 00:00:00,15,2022-06,164.0,164.0,56764.0,minimum_payout,minimum_payout
2024-01-15 00:00:00,16,2022-07,164.0,164.0,56764.0,minimum_payout,minimum_payout
2024-01-22 00:00:00,4,2020-03,345.05,345.05,56945.05,minimum_payout,minimum_payout
2024-01-22 00:00:00,12,2022-06,345.05,345.05,56945.05,minimum_payout,minimum_payout
2024-01-22 00:00:00,13,2022-06,345.05,345.05,56945.05,minimum_payout,minimum_payout
2024-01-22 00:00:00,14,2022-06,345.05,345.05,56945.05,minimum_payout,minimum_payout
2024-01-22 00:00:00,15,2022-06,345.05,345.05,56945.05,minimum_payout,minimum_payout
2024-01-22 00:00:00,16,2022-07,345.05,345.05,56945.05,minimum_payout,minimum_payout
2024-01-29 00:00:00,4,2020-03,69.4,69.4,56669.4,minimum_payout,minimum_payout
2024-01-29 00:00:00,12,2022-06,69.4,69.4,56669.4,minimum_payout,minimum_payout
2024-01-29 00:00:00,13,2022-06,69.4,69.4,56669.4,minimum_payout,minimum_payout
2024-01-29 00:00:00,14,2022-06,69.4,69.4,56669.4,minimum_payout,minimum_payout
2024-01-29 00:00:00,15,2022-06,69.4,69.4,56669.4,minimum_payout,minimum_payout
2024-01-29 00:00:00,16,2022-07,69.4,69.4,56669.4,minimum_payout,minimum_payout
2024-02-12 00:00:00,4,2020-03,377.1,0.0,56977.1,trading_days,trading_days|profitable_days
2024-02-12 00:00:00,12,2022-06,377.1,0.0,56977.1,trading_days,trading_days|profitable_days
2024-02-12 00:00:00,13,2022-06,377.1,0.0,56977.1,trading_days,trading_days|profitable_days
2024-02-12 00:00:00,14,2022-06,377.1,0.0,56977.1,trading_days,trading_days|profitable_days
2024-02-12 00:00:00,15,2022-06,377.1,0.0,56977.1,trading_days,trading_days|profitable_days
2024-02-12 00:00:00,16,2022-07,377.1,0.0,56977.1,trading_days,trading_days|profitable_days
2024-02-19 00:00:00,19,2023-01,0.7,0.7,56600.7,minimum_payout,minimum_payout
2024-02-26 00:00:00,4,2020-03,288.3,0.0,56888.3,trading_days,trading_days|profitable_days
2024-02-26 00:00:00,12,2022-06,288.3,0.0,56888.3,trading_days,trading_days|profitable_days
2024-02-26 00:00:00,13,2022-06,288.3,0.0,56888.3,trading_days,trading_days|profitable_days
2024-02-26 00:00:00,14,2022-06,288.3,0.0,56888.3,trading_days,trading_days|profitable_days
2024-02-26 00:00:00,15,2022-06,288.3,0.0,56888.3,trading_days,trading_days|profitable_days
2024-02-26 00:00:00,16,2022-07,288.3,0.0,56888.3,trading_days,trading_days|profitable_days
2024-02-26 00:00:00,19,2023-01,289.0,289.0,56889.0,minimum_payout,minimum_payout
2024-03-04 00:00:00,4,2020-03,395.45,0.0,56995.45,profitable_days,profitable_days
2024-03-04 00:00:00,12,2022-06,395.45,0.0,56995.45,profitable_days,profitable_days
2024-03-04 00:00:00,13,2022-06,395.45,0.0,56995.45,profitable_days,profitable_days
2024-03-04 00:00:00,14,2022-06,395.45,0.0,56995.45,profitable_days,profitable_days
2024-03-04 00:00:00,15,2022-06,395.45,0.0,56995.45,profitable_days,profitable_days
2024-03-04 00:00:00,16,2022-07,395.45,0.0,56995.45,profitable_days,profitable_days
2024-03-04 00:00:00,19,2023-01,396.15,396.15,56996.15,minimum_payout,minimum_payout
2024-03-11 00:00:00,4,2020-03,439.3,0.0,57039.3,profitable_days,profitable_days
2024-03-11 00:00:00,12,2022-06,439.3,0.0,57039.3,profitable_days,profitable_days
2024-03-11 00:00:00,13,2022-06,439.3,0.0,57039.3,profitable_days,profitable_days
2024-03-11 00:00:00,14,2022-06,439.3,0.0,57039.3,profitable_days,profitable_days
2024-03-11 00:00:00,15,2022-06,439.3,0.0,57039.3,profitable_days,profitable_days
2024-03-11 00:00:00,16,2022-07,439.3,0.0,57039.3,profitable_days,profitable_days
2024-03-11 00:00:00,19,2023-01,440.0,440.0,57040.0,minimum_payout,minimum_payout
2024-03-18 00:00:00,4,2020-03,201.3,201.3,56801.3,minimum_payout,minimum_payout
2024-03-18 00:00:00,12,2022-06,201.3,201.3,56801.3,minimum_payout,minimum_payout
2024-03-18 00:00:00,13,2022-06,201.3,201.3,56801.3,minimum_payout,minimum_payout
2024-03-18 00:00:00,14,2022-06,201.3,201.3,56801.3,minimum_payout,minimum_payout
2024-03-18 00:00:00,15,2022-06,201.3,201.3,56801.3,minimum_payout,minimum_payout
2024-03-18 00:00:00,16,2022-07,201.3,201.3,56801.3,minimum_payout,minimum_payout
2024-03-18 00:00:00,19,2023-01,202.0,202.0,56802.0,minimum_payout,minimum_payout
2024-03-25 00:00:00,18,2022-12,39.3,39.3,56639.3,minimum_payout,minimum_payout
2024-04-01 00:00:00,4,2020-03,156.05,0.0,56756.05,trading_days,trading_days|profitable_days
2024-04-01 00:00:00,12,2022-06,156.05,0.0,56756.05,trading_days,trading_days|profitable_days
2024-04-01 00:00:00,13,2022-06,156.05,0.0,56756.05,trading_days,trading_days|profitable_days
2024-04-01 00:00:00,14,2022-06,156.05,0.0,56756.05,trading_days,trading_days|profitable_days
2024-04-01 00:00:00,15,2022-06,156.05,0.0,56756.05,trading_days,trading_days|profitable_days
2024-04-01 00:00:00,16,2022-07,156.05,0.0,56756.05,trading_days,trading_days|profitable_days
2024-04-01 00:00:00,17,2022-11,25.95,25.95,56625.95,minimum_payout,minimum_payout
2024-04-01 00:00:00,18,2022-12,195.35,195.35,56795.35,minimum_payout,minimum_payout
2024-04-01 00:00:00,19,2023-01,156.05,0.0,56756.05,trading_days,trading_days|profitable_days
2024-04-01 00:00:00,20,2023-03,123.45,123.45,56723.45,minimum_payout,minimum_payout
2024-05-20 00:00:00,4,2020-03,12.65,12.65,56612.65,minimum_payout,minimum_payout
2024-05-20 00:00:00,12,2022-06,12.65,12.65,56612.65,minimum_payout,minimum_payout
2024-05-20 00:00:00,13,2022-06,12.65,12.65,56612.65,minimum_payout,minimum_payout
2024-05-20 00:00:00,14,2022-06,12.65,12.65,56612.65,minimum_payout,minimum_payout
2024-05-20 00:00:00,15,2022-06,12.65,12.65,56612.65,minimum_payout,minimum_payout
2024-05-20 00:00:00,16,2022-07,12.65,12.65,56612.65,minimum_payout,minimum_payout
2024-05-20 00:00:00,17,2022-11,12.65,12.65,56612.65,minimum_payout,minimum_payout
2024-05-20 00:00:00,18,2022-12,12.65,12.65,56612.65,minimum_payout,minimum_payout
2024-05-20 00:00:00,19,2023-01,12.65,12.65,56612.65,minimum_payout,minimum_payout
2024-05-20 00:00:00,20,2023-03,12.65,12.65,56612.65,minimum_payout,minimum_payout
