at,account_id,cohort_month,payout_number,requested_usd,allowed_usd,gross_usd,received_usd,balance_before_usd,balance_after_usd,outstanding_after_usd,binding_cap
2022-02-28 00:00:00,4,2020-03,1,592.15,592.15,592.15,592.15,57192.15,56600.0,0.0,
2022-04-04 00:00:00,4,2020-03,2,833.8,833.8,833.8,833.8,57433.8,56600.0,0.0,
2022-04-25 00:00:00,4,2020-03,3,1575.8,1575.8,1575.8,1575.8,58175.8,56600.0,0.0,
2022-10-17 00:00:00,4,2020-03,4,975.9,975.9,975.9,975.9,57575.9,56600.0,0.0,
2023-02-20 00:00:00,4,2020-03,5,599.7,599.7,599.7,599.7,57199.7,56600.0,0.0,
2023-03-27 00:00:00,4,2020-03,6,1059.25,1059.25,1059.25,1059.25,57659.25,56600.0,0.0,
2023-03-27 00:00:00,16,2022-07,1,672.85,672.85,672.85,672.85,57272.85,56600.0,0.0,
2023-04-10 00:00:00,4,2020-03,7,766.1,766.1,766.1,766.1,57366.1,56600.0,0.0,
2023-04-10 00:00:00,16,2022-07,2,766.1,766.1,766.1,766.1,57366.1,56600.0,0.0,
2023-04-17 00:00:00,12,2022-06,1,960.65,960.65,960.65,960.65,57560.65,56600.0,0.0,
2023-04-17 00:00:00,13,2022-06,1,960.65,960.65,960.65,960.65,57560.65,56600.0,0.0,
2023-04-17 00:00:00,14,2022-06,1,960.65,960.65,960.65,960.65,57560.65,56600.0,0.0,
2023-04-17 00:00:00,15,2022-06,1,960.65,960.65,960.65,960.65,57560.65,56600.0,0.0,
2023-05-01 00:00:00,4,2020-03,8,672.75,672.75,672.75,672.75,57272.75,56600.0,0.0,
2023-05-01 00:00:00,16,2022-07,3,672.75,672.75,672.75,672.75,57272.75,56600.0,0.0,
2023-08-28 00:00:00,4,2020-03,9,631.5,631.5,631.5,631.5,57231.5,56600.0,0.0,
2023-08-28 00:00:00,12,2022-06,2,772.65,772.65,772.65,772.65,57372.65,56600.0,0.0,
