at,account_id,cohort_month,payout_number,requested_usd,allowed_usd,gross_usd,received_usd,balance_before_usd,balance_after_usd,outstanding_after_usd,binding_cap
2021-04-16 00:00:00,6,2020-04,1,500.0,500.0,500.0,500.0,54215.55,53715.55,0.0,
2021-11-05 00:00:00,4,2020-03,1,500.0,500.0,500.0,500.0,54308.55,53808.55,0.0,
2021-11-05 00:00:00,5,2020-03,1,500.0,500.0,500.0,500.0,54308.55,53808.55,0.0,
2022-01-29 00:00:00,6,2020-04,2,500.0,500.0,500.0,500.0,54267.15,53767.15,0.0,
2022-02-01 00:00:00,4,2020-03,2,500.0,500.0,500.0,500.0,54561.75,54061.75,0.0,
2022-02-01 00:00:00,5,2020-03,2,500.0,500.0,500.0,500.0,54561.75,54061.75,0.0,
2022-02-08 00:00:00,20,2021-07,1,500.0,500.0,500.0,500.0,54382.2,53882.2,0.0,
2022-02-08 00:00:00,21,2021-08,1,500.0,500.0,500.0,500.0,54315.5,53815.5,0.0,
2022-02-08 00:00:00,22,2021-09,1,500.0,500.0,500.0,500.0,54345.5,53845.5,0.0,
2022-02-10 00:00:00,6,2020-04,3,500.0,500.0,500.0,500.0,55244.05,54744.05,0.0,
2022-02-11 00:00:00,4,2020-03,3,500.0,500.0,500.0,500.0,55236.35,54736.35,0.0,
2022-02-11 00:00:00,5,2020-03,3,500.0,500.0,500.0,500.0,55236.35,54736.35,0.0,
2022-02-22 00:00:00,20,2021-07,2,500.0,500.0,500.0,500.0,54429.75,53929.75,0.0,
2022-02-22 00:00:00,21,2021-08,2,500.0,500.0,500.0,500.0,54363.05,53863.05,0.0,
2022-02-22 00:00:00,22,2021-09,2,500.0,500.0,500.0,500.0,54393.05,53893.05,0.0,
2022-02-23 00:00:00,6,2020-04,4,500.0,500.0,500.0,500.0,55728.25,55228.25,0.0,
2022-02-26 00:00:00,4,2020-03,4,500.0,500.0,500.0,500.0,55692.15,55192.15,0.0,
2022-02-26 00:00:00,5,2020-03,4,500.0,500.0,500.0,500.0,55692.15,55192.15,0.0,
2022-03-01 00:00:00,29,2022-01,1,500.0,500.0,500.0,500.0,54532.55,54032.55,0.0,
2022-03-12 00:00:00,20,2021-07,3,500.0,500.0,500.0,500.0,54368.7,53868.7,0.0,
2022-03-12 00:00:00,21,2021-08,3,500.0,500.0,500.0,500.0,54302.0,53802.0,0.0,
2022-03-12 00:00:00,22,2021-09,3,500.0,500.0,500.0,500.0,54332.0,53832.0,0.0,
2022-03-16 00:00:00,6,2020-04,5,500.0,500.0,500.0,500.0,54757.95,54257.95,0.0,
2022-03-17 00:00:00,4,2020-03,5,500.0,500.0,500.0,500.0,54872.6,54372.6,0.0,
2022-03-17 00:00:00,5,2020-03,5,500.0,500.0,500.0,500.0,54872.6,54372.6,0.0,
2022-03-23 00:00:00,29,2022-01,2,500.0,500.0,500.0,500.0,54551.75,54051.75,0.0,
2022-03-24 00:00:00,20,2021-07,4,500.0,500.0,500.0,500.0,54766.4,54266.4,0.0,
2022-03-24 00:00:00,21,2021-08,4,500.0,500.0,500.0,500.0,54699.7,54199.7,0.0,
2022-03-24 00:00:00,22,2021-09,4,500.0,500.0,500.0,500.0,54729.7,54229.7,0.0,
2022-03-26 00:00:00,6,2020-04,6,500.0,500.0,500.0,500.0,55236.15,54736.15,0.0,
2022-03-29 00:00:00,4,2020-03,6,500.0,500.0,500.0,500.0,55816.35,55316.35,0.0,
2022-03-29 00:00:00,5,2020-03,6,500.0,500.0,500.0,500.0,55816.35,55316.35,0.0,
2022-03-30 00:00:00,28,2021-12,1,500.0,500.0,500.0,500.0,54388.6,53888.6,0.0,
2022-04-13 00:00:00,6,2020-04,7,500.0,500.0,500.0,500.0,56292.15,55792.15,0.0,
2022-04-13 00:00:00,20,2021-07,5,500.0,500.0,500.0,500.0,55652.15,55152.15,0.0,
2022-04-13 00:00:00,21,2021-08,5,500.0,500.0,500.0,500.0,55585.45,55085.45,0.0,
2022-04-13 00:00:00,22,2021-09,5,500.0,500.0,500.0,500.0,55615.45,55115.45,0.0,
2022-04-13 00:00:00,29,2022-01,3,500.0,500.0,500.0,500.0,55071.55,54571.55,0.0,
2022-04-13 00:00:00,30,2022-01,1,500.0,500.0,500.0,500.0,54525.0,54025.0,0.0,
2022-04-13 00:00:00,31,2022-01,1,500.0,500.0,500.0,500.0,54525.0,54025.0,0.0,
2022-04-14 00:00:00,4,2020-03,7,500.0,500.0,500.0,500.0,56322.75,55822.75,0.0,
2022-04-14 00:00:00,5,2020-03,7,500.0,500.0,500.0,500.0,56322.75,55822.75,0.0,
2022-04-14 00:00:00,32,2022-02,1,500.0,500.0,500.0,500.0,54261.0,53761.0,0.0,
