product,initial_cash,monthly_funding,acquisition,withdrawal,cadence,headroom,reserve,strict_post_payout_balance,fee,accounts,alive,ongoing,terminal,total,contributions,ending_owner_cash
legacy_25k,1000,0,monthly_current_slot_replacements,maximum,weekly,6500,31600.0,True,200.0,5,0,-1000.0,0,-1000.0,1000.0,0.0
legacy_25k,1000,0,monthly_current_slot_replacements,minimum,calendar_month,4900,30000.0,True,200.0,5,0,-1000.0,0,-1000.0,1000.0,0.0
legacy_25k,1000,0,monthly_current_slot_replacements,minimum,daily,6800,31900.0,True,200.0,5,0,-1000.0,0,-1000.0,1000.0,0.0
legacy_25k,1000,0,monthly_one,maximum,weekly,6500,31600.0,True,200.0,58,17,232440.45,46126.23,278566.68,1000.0,279566.68
legacy_25k,1000,0,monthly_one,minimum,calendar_month,4900,30000.0,True,200.0,58,17,163900.0,116407.8,280307.8,1000.0,281307.8
legacy_25k,1000,0,monthly_one,minimum,daily,6800,31900.0,True,200.0,58,17,224400.0,55907.8,280307.8,1000.0,281307.8
legacy_25k,1000,0,weekly_one,maximum,weekly,6500,31600.0,True,200.0,5,0,-1000.0,0,-1000.0,1000.0,0.0
legacy_25k,1000,0,weekly_one,minimum,calendar_month,4900,30000.0,True,200.0,5,0,-1000.0,0,-1000.0,1000.0,0.0
legacy_25k,1000,0,weekly_one,minimum,daily,6800,31900.0,True,200.0,5,0,-1000.0,0,-1000.0,1000.0,0.0
legacy_25k,1000,200,monthly_current_slot_replacements,maximum,weekly,6500,31600.0,True,200.0,69,20,471237.28,61155.84,532393.12,16600.0,548993.12
legacy_25k,1000,200,monthly_current_slot_replacements,minimum,calendar_month,4900,30000.0,True,200.0,69,20,332200.0,200193.17,532393.17,16600.0,548993.17
legacy_25k,1000,200,monthly_current_slot_replacements,minimum,daily,6800,31900.0,True,200.0,69,20,458800.0,73593.18,532393.18,16600.0,548993.18
legacy_25k,1000,200,monthly_one,maximum,weekly,6500,31600.0,True,200.0,60,20,373130.03,60711.18,433841.21,16600.0,450441.21
legacy_25k,1000,200,monthly_one,minimum,calendar_month,4900,30000.0,True,200.0,60,20,270000.0,165582.37,435582.37,16600.0,452182.37
legacy_25k,1000,200,monthly_one,minimum,daily,6800,31900.0,True,200.0,60,20,361600.0,73982.38,435582.38,16600.0,452182.38
legacy_25k,1000,200,weekly_one,maximum,weekly,6500,31600.0,True,200.0,75,20,460918.96,61608.03,522526.99,16600.0,539126.99
legacy_25k,1000,200,weekly_one,minimum,calendar_month,4900,30000.0,True,200.0,75,20,324500.0,198027.01,522527.01,16600.0,539127.01
legacy_25k,1000,200,weekly_one,minimum,daily,6800,31900.0,True,200.0,75,20,449800.0,72727.04,522527.04,16600.0,539127.04
legacy_25k,5000,0,monthly_current_slot_replacements,maximum,weekly,6500,31600.0,True,200.0,103,20,493402.42,59535.29,552937.71,5000.0,557937.71
