at,account_id,cohort_month,payout_number,requested_usd,allowed_usd,gross_usd,received_usd,balance_before_usd,balance_after_usd,outstanding_after_usd,binding_cap
2022-02-28 00:00:00,4,2020-04,1,747.55,747.55,747.55,747.55,32347.55,31600.0,0.0,
2022-02-28 00:00:00,5,2020-04,1,747.55,747.55,747.55,747.55,32347.55,31600.0,0.0,
2022-02-28 00:00:00,6,2020-04,1,747.55,747.55,747.55,747.55,32347.55,31600.0,0.0,
2022-04-04 00:00:00,4,2020-04,2,833.8,833.8,833.8,833.8,32433.8,31600.0,0.0,
2022-04-04 00:00:00,5,2020-04,2,833.8,833.8,833.8,833.8,32433.8,31600.0,0.0,
2022-04-04 00:00:00,6,2020-04,2,833.8,833.8,833.8,833.8,32433.8,31600.0,0.0,
2022-04-11 00:00:00,22,2021-10,1,1014.25,1014.25,1014.25,1014.25,32614.25,31600.0,0.0,
2022-04-11 00:00:00,23,2021-10,1,1014.25,1014.25,1014.25,1014.25,32614.25,31600.0,0.0,
2022-04-11 00:00:00,24,2021-10,1,1014.25,1014.25,1014.25,1014.25,32614.25,31600.0,0.0,
2022-04-18 00:00:00,19,2021-07,1,1106.15,1106.15,1106.15,1106.15,32706.15,31600.0,0.0,
2022-04-18 00:00:00,20,2021-07,1,1106.15,1106.15,1106.15,1106.15,32706.15,31600.0,0.0,
2022-04-18 00:00:00,21,2021-07,1,1106.15,1106.15,1106.15,1106.15,32706.15,31600.0,0.0,
2022-04-25 00:00:00,4,2020-04,3,1575.8,1500.0,1500.0,1500.0,33175.8,31675.8,0.0,maximum_payout
2022-04-25 00:00:00,5,2020-04,3,1575.8,1500.0,1500.0,1500.0,33175.8,31675.8,0.0,maximum_payout
2022-04-25 00:00:00,6,2020-04,3,1575.8,1500.0,1500.0,1500.0,33175.8,31675.8,0.0,maximum_payout
2022-04-25 00:00:00,22,2021-10,2,1043.0,1043.0,1043.0,1043.0,32643.0,31600.0,0.0,
2022-04-25 00:00:00,23,2021-10,2,1043.0,1043.0,1043.0,1043.0,32643.0,31600.0,0.0,
2022-04-25 00:00:00,24,2021-10,2,1043.0,1043.0,1043.0,1043.0,32643.0,31600.0,0.0,
2022-09-12 00:00:00,19,2021-07,2,584.5,584.5,584.5,584.5,32184.5,31600.0,0.0,
2022-09-12 00:00:00,20,2021-07,2,584.5,584.5,584.5,584.5,32184.5,31600.0,0.0,
2022-09-12 00:00:00,21,2021-07,2,584.5,584.5,584.5,584.5,32184.5,31600.0,0.0,
2022-10-03 00:00:00,4,2020-04,4,565.45,565.45,565.45,565.45,32165.45,31600.0,0.0,
2022-10-03 00:00:00,5,2020-04,4,565.45,565.45,565.45,565.45,32165.45,31600.0,0.0,
2022-10-03 00:00:00,6,2020-04,4,565.45,565.45,565.45,565.45,32165.45,31600.0,0.0,
2022-10-17 00:00:00,19,2021-07,3,802.4,802.4,802.4,802.4,32402.4,31600.0,0.0,
2022-10-17 00:00:00,20,2021-07,3,802.4,802.4,802.4,802.4,32402.4,31600.0,0.0,
2022-10-17 00:00:00,21,2021-07,3,802.4,802.4,802.4,802.4,32402.4,31600.0,0.0,
2022-10-17 00:00:00,22,2021-10,3,975.9,975.9,975.9,975.9,32575.9,31600.0,0.0,
2022-10-17 00:00:00,23,2021-10,3,975.9,975.9,975.9,975.9,32575.9,31600.0,0.0,
2022-10-17 00:00:00,24,2021-10,3,975.9,975.9,975.9,975.9,32575.9,31600.0,0.0,
2022-10-17 00:00:00,25,2022-01,1,912.45,912.45,912.45,912.45,32512.45,31600.0,0.0,
2022-10-24 00:00:00,4,2020-04,5,1314.2,1314.2,1314.2,1314.2,32914.2,31600.0,0.0,
2022-10-24 00:00:00,5,2020-04,5,1314.2,1314.2,1314.2,1314.2,32914.2,31600.0,0.0,
2022-10-24 00:00:00,6,2020-04,5,1314.2,1314.2,1314.2,1314.2,32914.2,31600.0,0.0,
2023-02-20 00:00:00,19,2021-07,4,599.7,599.7,599.7,599.7,32199.7,31600.0,0.0,
2023-02-20 00:00:00,20,2021-07,4,599.7,599.7,599.7,599.7,32199.7,31600.0,0.0,
2023-02-20 00:00:00,21,2021-07,4,599.7,599.7,599.7,599.7,32199.7,31600.0,0.0,
2023-02-20 00:00:00,22,2021-10,4,599.7,599.7,599.7,599.7,32199.7,31600.0,0.0,
2023-02-20 00:00:00,23,2021-10,4,599.7,599.7,599.7,599.7,32199.7,31600.0,0.0,
2023-02-20 00:00:00,24,2021-10,4,599.7,599.7,599.7,599.7,32199.7,31600.0,0.0,
2023-02-20 00:00:00,25,2022-01,2,599.7,599.7,599.7,599.7,32199.7,31600.0,0.0,
2023-03-27 00:00:00,4,2020-04,6,831.0,831.0,831.0,831.0,32431.0,31600.0,0.0,
2023-03-27 00:00:00,5,2020-04,6,831.0,831.0,831.0,831.0,32431.0,31600.0,0.0,
2023-03-27 00:00:00,6,2020-04,6,831.0,831.0,831.0,831.0,32431.0,31600.0,0.0,
2023-03-27 00:00:00,19,2021-07,5,1059.25,1059.25,1059.25,1059.25,32659.25,31600.0,0.0,
2023-03-27 00:00:00,20,2021-07,5,1059.25,1059.25,1059.25,1059.25,32659.25,31600.0,0.0,
2023-03-27 00:00:00,21,2021-07,5,1059.25,1059.25,1059.25,1059.25,32659.25,31600.0,0.0,
2023-03-27 00:00:00,22,2021-10,5,1059.25,1059.25,1059.25,1059.25,32659.25,31600.0,0.0,
2023-03-27 00:00:00,23,2021-10,5,1059.25,1059.25,1059.25,1059.25,32659.25,31600.0,0.0,
2023-03-27 00:00:00,24,2021-10,5,1059.25,1059.25,1059.25,1059.25,32659.25,31600.0,0.0,
2023-03-27 00:00:00,25,2022-01,3,1059.25,1059.25,1059.25,1059.25,32659.25,31600.0,0.0,
2023-03-27 00:00:00,29,2022-07,1,672.85,672.85,672.85,672.85,32272.85,31600.0,0.0,
2023-03-27 00:00:00,30,2022-07,1,672.85,672.85,672.85,672.85,32272.85,31600.0,0.0,
2023-03-27 00:00:00,31,2022-07,1,672.85,672.85,672.85,672.85,32272.85,31600.0,0.0,
2023-04-10 00:00:00,4,2020-04,7,766.1,766.1,766.1,766.1,32366.1,31600.0,0.0,
2023-04-10 00:00:00,5,2020-04,7,766.1,766.1,766.1,766.1,32366.1,31600.0,0.0,
2023-04-10 00:00:00,6,2020-04,7,766.1,766.1,766.1,766.1,32366.1,31600.0,0.0,
2023-04-10 00:00:00,19,2021-07,6,766.1,766.1,766.1,766.1,32366.1,31600.0,0.0,
2023-04-10 00:00:00,20,2021-07,6,766.1,766.1,766.1,766.1,32366.1,31600.0,0.0,
2023-04-10 00:00:00,21,2021-07,6,766.1,766.1,766.1,766.1,32366.1,31600.0,0.0,
2023-04-10 00:00:00,22,2021-10,6,766.1,766.1,766.1,766.1,32366.1,31600.0,0.0,
