at,kind,amount_usd,cash_after_usd
2020-01-01T00:00:00,owner_contribution,5000,5000.0
2020-01-01T00:00:00,account_purchase,-600.0,4400.0
2020-02-01T00:00:00,owner_contribution,0,4400.0
2020-03-01T00:00:00,owner_contribution,0,4400.0
2020-04-01T00:00:00,owner_contribution,0,4400.0
2020-04-01T00:00:00,account_purchase,-600.0,3800.0
2020-05-01T00:00:00,owner_contribution,0,3800.0
2020-06-01T00:00:00,owner_contribution,0,3800.0
2020-07-01T00:00:00,owner_contribution,0,3800.0
2020-07-01T00:00:00,account_purchase,-600.0,3200.0
2020-08-01T00:00:00,owner_contribution,0,3200.0
2020-09-01T00:00:00,owner_contribution,0,3200.0
2020-10-01T00:00:00,owner_contribution,0,3200.0
2020-10-01T00:00:00,account_purchase,-600.0,2600.0
2020-11-01T00:00:00,owner_contribution,0,2600.0
2020-12-01T00:00:00,owner_contribution,0,2600.0
2021-01-01T00:00:00,owner_contribution,0,2600.0
2021-01-01T00:00:00,account_purchase,-600.0,2000.0
2021-02-01T00:00:00,owner_contribution,0,2000.0
2021-03-01T00:00:00,owner_contribution,0,2000.0
2021-04-01T00:00:00,owner_contribution,0,2000.0
2021-04-01T00:00:00,account_purchase,-600.0,1400.0
2021-05-01T00:00:00,owner_contribution,0,1400.0
2021-06-01T00:00:00,owner_contribution,0,1400.0
2021-07-01T00:00:00,owner_contribution,0,1400.0
2021-07-01T00:00:00,account_purchase,-600.0,800.0
2021-08-01T00:00:00,owner_contribution,0,800.0
2021-09-01T00:00:00,owner_contribution,0,800.0
2021-10-01T00:00:00,owner_contribution,0,800.0
2021-10-01T00:00:00,account_purchase,-600.0,200.0
2021-11-01T00:00:00,owner_contribution,0,200.0
2021-12-01T00:00:00,owner_contribution,0,200.0
2022-01-01T00:00:00,owner_contribution,0,200.0
2022-01-01T00:00:00,account_purchase,-200.0,0.0
2022-02-01T00:00:00,owner_contribution,0,0.0
2022-03-01T00:00:00,payout_received,500.0,500.0
2022-03-01T00:00:00,payout_received,500.0,1000.0
2022-03-01T00:00:00,payout_received,500.0,1500.0
2022-03-01T00:00:00,owner_contribution,0,1500.0
2022-03-23T00:00:00,payout_received,500.0,2000.0
2022-03-23T00:00:00,payout_received,500.0,2500.0
2022-03-23T00:00:00,payout_received,500.0,3000.0
2022-03-30T00:00:00,payout_received,500.0,3500.0
2022-03-30T00:00:00,payout_received,500.0,4000.0
2022-03-30T00:00:00,payout_received,500.0,4500.0
2022-04-01T00:00:00,owner_contribution,0,4500.0
2022-04-01T00:00:00,account_purchase,-600.0,3900.0
2022-04-13T00:00:00,payout_received,500.0,4400.0
2022-04-13T00:00:00,payout_received,500.0,4900.0
2022-04-13T00:00:00,payout_received,500.0,5400.0
2022-04-13T00:00:00,payout_received,500.0,5900.0
2022-04-13T00:00:00,payout_received,500.0,6400.0
2022-04-13T00:00:00,payout_received,500.0,6900.0
2022-04-19T00:00:00,payout_received,500.0,7400.0
2022-04-19T00:00:00,payout_received,500.0,7900.0
2022-04-19T00:00:00,payout_received,500.0,8400.0
2022-04-26T00:00:00,payout_received,500.0,8900.0
2022-04-26T00:00:00,payout_received,500.0,9400.0
2022-04-26T00:00:00,payout_received,500.0,9900.0
2022-04-26T00:00:00,payout_received,500.0,10400.0
2022-04-26T00:00:00,payout_received,500.0,10900.0
2022-04-26T00:00:00,payout_received,500.0,11400.0
2022-05-01T00:00:00,owner_contribution,0,11400.0
2022-06-01T00:00:00,owner_contribution,0,11400.0
2022-07-01T00:00:00,owner_contribution,0,11400.0
2022-07-01T00:00:00,account_purchase,-600.0,10800.0
2022-08-01T00:00:00,owner_contribution,0,10800.0
2022-08-16T00:00:00,payout_received,500.0,11300.0
2022-08-16T00:00:00,payout_received,500.0,11800.0
2022-08-16T00:00:00,payout_received,500.0,12300.0
2022-08-16T00:00:00,payout_received,500.0,12800.0
2022-08-16T00:00:00,payout_received,500.0,13300.0
2022-08-16T00:00:00,payout_received,500.0,13800.0
2022-09-01T00:00:00,owner_contribution,0,13800.0
2022-09-10T00:00:00,payout_received,500.0,14300.0
2022-09-10T00:00:00,payout_received,500.0,14800.0
2022-09-10T00:00:00,payout_received,500.0,15300.0
2022-09-13T00:00:00,payout_received,500.0,15800.0
2022-09-13T00:00:00,payout_received,500.0,16300.0
2022-09-13T00:00:00,payout_received,500.0,16800.0
2022-09-13T00:00:00,payout_received,500.0,17300.0
2022-09-13T00:00:00,payout_received,500.0,17800.0
2022-09-13T00:00:00,payout_received,500.0,18300.0
2022-09-29T00:00:00,payout_received,500.0,18800.0
2022-09-29T00:00:00,payout_received,500.0,19300.0
2022-09-29T00:00:00,payout_received,500.0,19800.0
2022-09-29T00:00:00,payout_received,500.0,20300.0
2022-09-29T00:00:00,payout_received,500.0,20800.0
2022-09-29T00:00:00,payout_received,500.0,21300.0
2022-09-29T00:00:00,payout_received,500.0,21800.0
2022-09-29T00:00:00,payout_received,500.0,22300.0
2022-09-29T00:00:00,payout_received,500.0,22800.0
2022-10-01T00:00:00,owner_contribution,0,22800.0
2022-10-01T00:00:00,account_purchase,-600.0,22200.0
2022-10-14T00:00:00,payout_received,500.0,22700.0
2022-10-20T00:00:00,payout_received,500.0,23200.0
2022-10-20T00:00:00,payout_received,500.0,23700.0
2022-10-20T00:00:00,payout_received,500.0,24200.0
2022-10-20T00:00:00,payout_received,500.0,24700.0
2022-10-20T00:00:00,payout_received,500.0,25200.0
2022-10-20T00:00:00,payout_received,500.0,25700.0
2022-10-20T00:00:00,payout_received,500.0,26200.0
2022-10-20T00:00:00,payout_received,500.0,26700.0
2022-10-20T00:00:00,payout_received,500.0,27200.0
2022-11-01T00:00:00,owner_contribution,0,27200.0
2022-12-01T00:00:00,owner_contribution,0,27200.0
2023-01-01T00:00:00,owner_contribution,0,27200.0
2023-01-01T00:00:00,account_purchase,-600.0,26600.0
2023-02-01T00:00:00,owner_contribution,0,26600.0
2023-02-11T00:00:00,payout_received,500.0,27100.0
2023-02-14T00:00:00,payout_received,500.0,27600.0
2023-02-14T00:00:00,payout_received,500.0,28100.0
2023-02-14T00:00:00,payout_received,500.0,28600.0
2023-03-01T00:00:00,owner_contribution,0,28600.0
2023-03-17T00:00:00,payout_received,500.0,29100.0
2023-03-17T00:00:00,payout_received,500.0,29600.0
2023-03-17T00:00:00,payout_received,500.0,30100.0
2023-03-17T00:00:00,payout_received,500.0,30600.0
2023-03-17T00:00:00,payout_received,500.0,31100.0
2023-03-17T00:00:00,payout_received,500.0,31600.0
2023-03-17T00:00:00,payout_received,500.0,32100.0
