at,account_id,cohort_month,requested_usd,allowed_usd,balance_usd,blocked_by,blockers
2022-02-01 00:00:00,4,2020-04,217.15,217.15,30217.15,minimum_payout,minimum_payout
2022-06-01 00:00:00,19,2021-07,388.8,388.8,30388.8,minimum_payout,minimum_payout
2022-06-01 00:00:00,20,2021-08,322.1,322.1,30322.1,minimum_payout,minimum_payout
2022-06-01 00:00:00,21,2021-09,352.1,352.1,30352.1,minimum_payout,minimum_payout
2022-10-01 00:00:00,31,2022-07,127.65,127.65,30127.65,minimum_payout,minimum_payout
2022-11-01 00:00:00,31,2022-07,448.25,448.25,30448.25,minimum_payout,minimum_payout
2022-12-01 00:00:00,25,2022-01,294.35,294.35,30294.35,minimum_payout,minimum_payout
2022-12-01 00:00:00,31,2022-07,395.8,395.8,30395.8,minimum_payout,minimum_payout
2023-02-01 00:00:00,19,2021-07,368.65,368.65,30368.65,minimum_payout,minimum_payout
2023-02-01 00:00:00,20,2021-08,301.95,301.95,30301.95,minimum_payout,minimum_payout
2023-02-01 00:00:00,21,2021-09,331.95,331.95,30331.95,minimum_payout,minimum_payout
2023-02-01 00:00:00,22,2021-10,408.75,408.75,30408.75,minimum_payout,minimum_payout
2023-02-01 00:00:00,25,2022-01,288.05,288.05,30288.05,minimum_payout,minimum_payout
2023-02-01 00:00:00,31,2022-07,389.5,389.5,30389.5,minimum_payout,minimum_payout
2023-03-01 00:00:00,19,2021-07,446.85,446.85,30446.85,minimum_payout,minimum_payout
2023-03-01 00:00:00,20,2021-08,380.15,380.15,30380.15,minimum_payout,minimum_payout
2023-03-01 00:00:00,21,2021-09,410.15,410.15,30410.15,minimum_payout,minimum_payout
2023-03-01 00:00:00,22,2021-10,486.95,486.95,30486.95,minimum_payout,minimum_payout
2023-03-01 00:00:00,25,2022-01,366.25,366.25,30366.25,minimum_payout,minimum_payout
2023-03-01 00:00:00,31,2022-07,467.7,467.7,30467.7,minimum_payout,minimum_payout
2023-04-01 00:00:00,32,2022-08,305.0,305.0,30305.0,minimum_payout,minimum_payout
2023-07-01 00:00:00,32,2022-08,175.7,175.7,30175.7,minimum_payout,minimum_payout
2023-09-01 00:00:00,37,2023-01,248.05,248.05,30248.05,minimum_payout,minimum_payout
2023-10-01 00:00:00,4,2020-04,500.0,0.0,30597.0,profitable_days,profitable_days
2023-10-01 00:00:00,19,2021-07,500.0,0.0,30957.0,profitable_days,profitable_days
2023-10-01 00:00:00,20,2021-08,500.0,0.0,30890.3,profitable_days,profitable_days
2023-10-01 00:00:00,21,2021-09,500.0,0.0,30920.3,profitable_days,profitable_days
2023-10-01 00:00:00,22,2021-10,500.0,0.0,30997.1,profitable_days,profitable_days
2023-10-01 00:00:00,25,2022-01,500.0,0.0,30876.4,profitable_days,profitable_days
2023-10-01 00:00:00,31,2022-07,500.0,0.0,30977.85,profitable_days,profitable_days
2024-02-01 00:00:00,4,2020-04,295.05,295.05,30295.05,minimum_payout,minimum_payout
2024-02-01 00:00:00,32,2022-08,119.2,119.2,30119.2,minimum_payout,minimum_payout
2024-05-01 00:00:00,38,2023-02,122.3,122.3,30122.3,minimum_payout,minimum_payout
2024-05-01 00:00:00,39,2023-03,44.1,44.1,30044.1,minimum_payout,minimum_payout
2024-08-01 00:00:00,49,2024-01,389.5,389.5,30389.5,minimum_payout,minimum_payout
2024-08-01 00:00:00,50,2024-02,150.55,150.55,30150.55,minimum_payout,minimum_payout
2025-03-01 00:00:00,58,2024-10,355.75,355.75,30355.75,minimum_payout,minimum_payout
2025-03-01 00:00:00,59,2024-11,405.05,405.05,30405.05,minimum_payout,minimum_payout
2025-05-01 00:00:00,57,2024-09,500.0,0.0,33455.9,consistency,consistency
2025-05-01 00:00:00,58,2024-10,500.0,0.0,32849.45,consistency,consistency
2025-05-01 00:00:00,59,2024-11,500.0,0.0,32898.75,consistency,consistency
2025-05-01 00:00:00,60,2024-12,500.0,0.0,31661.5,consistency,consistency
2025-06-01 00:00:00,57,2024-09,500.0,0.0,33205.35,consistency,consistency
2025-06-01 00:00:00,58,2024-10,500.0,0.0,32598.9,consistency,consistency
2025-06-01 00:00:00,59,2024-11,500.0,0.0,32648.2,consistency,consistency
2025-06-01 00:00:00,60,2024-12,500.0,0.0,31410.95,consistency,consistency
2025-07-01 00:00:00,60,2024-12,500.0,0.0,32867.1,consistency,consistency
2025-08-01 00:00:00,60,2024-12,500.0,0.0,31917.15,consistency,consistency
2025-09-01 00:00:00,60,2024-12,500.0,0.0,31080.7,consistency,consistency
2025-10-01 00:00:00,60,2024-12,500.0,0.0,31379.75,consistency,consistency
2026-03-01 00:00:00,59,2024-11,39.05,39.05,30039.05,minimum_payout,minimum_payout
2026-04-01 00:00:00,4,2020-04,500.0,0.0,34428.35,profitable_days,profitable_days
2026-04-01 00:00:00,19,2021-07,500.0,0.0,34288.35,profitable_days,profitable_days
2026-04-01 00:00:00,20,2021-08,500.0,0.0,34221.65,profitable_days,profitable_days
2026-04-01 00:00:00,21,2021-09,500.0,0.0,34251.65,profitable_days,profitable_days
2026-04-01 00:00:00,22,2021-10,500.0,0.0,34328.45,profitable_days,profitable_days
2026-04-01 00:00:00,25,2022-01,500.0,0.0,34207.75,profitable_days,profitable_days
2026-04-01 00:00:00,31,2022-07,500.0,0.0,34309.2,profitable_days,profitable_days
2026-04-01 00:00:00,32,2022-08,500.0,0.0,34252.5,profitable_days,profitable_days
2026-04-01 00:00:00,37,2023-01,500.0,0.0,33947.4,profitable_days,profitable_days
2026-04-01 00:00:00,38,2023-02,500.0,0.0,33419.7,profitable_days,profitable_days
2026-04-01 00:00:00,39,2023-03,500.0,0.0,33341.5,profitable_days,profitable_days
2026-04-01 00:00:00,47,2023-11,500.0,0.0,32388.3,profitable_days,profitable_days
2026-04-01 00:00:00,48,2023-12,500.0,0.0,32166.0,profitable_days,profitable_days
2026-04-01 00:00:00,49,2024-01,500.0,0.0,31872.25,profitable_days,profitable_days
2026-04-01 00:00:00,50,2024-02,500.0,0.0,31633.3,profitable_days,profitable_days
2026-07-01 00:00:00,60,2024-12,116.05,116.05,30116.05,minimum_payout,minimum_payout
2026-07-13 21:30:40,77,2026-05,1000000000.0,0.0,27765.55,consistency,consistency
2026-07-13 21:30:40,79,2026-07,1000000000.0,0.0,26016.8,minimum_balance,minimum_balance|consistency
